1	5:58 AM ↑ (63°)	8:40 PM ↑ (297°)	14:41:33	−2:22	3:53 AM	10:45 PM	4:42 AM	9:56 PM	5:25 AM	9:13 PM	1:19 PM (63.0°)	94.347
2	5:59 AM ↑ (64°)	8:39 PM ↑ (296°)	14:39:08	−2:24	3:55 AM	10:43 PM	4:43 AM	9:54 PM	5:26 AM	9:12 PM	1:19 PM (62.7°)	94.335
3	6:01 AM ↑ (64°)	8:37 PM ↑ (296°)	14:36:42	−2:26	3:56 AM	10:40 PM	4:45 AM	9:52 PM	5:27 AM	9:11 PM	1:19 PM (62.5°)	94.323
4	6:02 AM ↑ (64°)	8:36 PM ↑ (295°)	14:34:13	−2:28	3:58 AM	10:38 PM	4:46 AM	9:51 PM	5:28 AM	9:09 PM	1:19 PM (62.2°)	94.311
5	6:03 AM ↑ (65°)	8:35 PM ↑ (295°)	14:31:42	−2:30	4:00 AM	10:36 PM	4:48 AM	9:49 PM	5:30 AM	9:08 PM	1:19 PM (61.9°)	94.298
6	6:04 AM ↑ (65°)	8:33 PM ↑ (295°)	14:29:09	−2:32	4:02 AM	10:34 PM	4:49 AM	9:47 PM	5:31 AM	9:06 PM	1:19 PM (61.7°)	94.285
7	6:05 AM ↑ (66°)	8:32 PM ↑ (294°)	14:26:35	−2:34	4:04 AM	10:32 PM	4:51 AM	9:46 PM	5:32 AM	9:05 PM	1:19 PM (61.4°)	94.272
8	6:06 AM ↑ (66°)	8:30 PM ↑ (294°)	14:23:59	−2:35	4:06 AM	10:30 PM	4:53 AM	9:44 PM	5:33 AM	9:03 PM	1:19 PM (61.1°)	94.258
9	6:08 AM ↑ (66°)	8:29 PM ↑ (293°)	14:21:22	−2:37	4:08 AM	10:27 PM	4:54 AM	9:42 PM	5:35 AM	9:01 PM	1:19 PM (60.8°)	94.244
10	6:09 AM ↑ (67°)	8:27 PM ↑ (293°)	14:18:42	−2:39	4:10 AM	10:25 PM	4:56 AM	9:40 PM	5:36 AM	9:00 PM	1:18 PM (60.5°)	94.230
11	6:10 AM ↑ (67°)	8:26 PM ↑ (293°)	14:16:02	−2:40	4:12 AM	10:23 PM	4:57 AM	9:38 PM	5:37 AM	8:58 PM	1:18 PM (60.2°)	94.215
12	6:11 AM ↑ (68°)	8:24 PM ↑ (292°)	14:13:20	−2:42	4:14 AM	10:21 PM	4:59 AM	9:36 PM	5:39 AM	8:57 PM	1:18 PM (59.9°)	94.200
13	6:12 AM ↑ (68°)	8:23 PM ↑ (292°)	14:10:36	−2:43	4:16 AM	10:19 PM	5:00 AM	9:35 PM	5:40 AM	8:55 PM	1:18 PM (59.6°)	94.184
14	6:13 AM ↑ (69°)	8:21 PM ↑ (291°)	14:07:52	−2:44	4:18 AM	10:16 PM	5:02 AM	9:33 PM	5:41 AM	8:53 PM	1:18 PM (59.3°)	94.167
15	6:15 AM ↑ (69°)	8:20 PM ↑ (291°)	14:05:06	−2:46	4:20 AM	10:14 PM	5:03 AM	9:31 PM	5:43 AM	8:52 PM	1:18 PM (59.0°)	94.151
16	6:16 AM ↑ (69°)	8:18 PM ↑ (290°)	14:02:18	−2:47	4:21 AM	10:12 PM	5:05 AM	9:29 PM	5:44 AM	8:50 PM	1:17 PM (58.7°)	94.133
17	6:17 AM ↑ (70°)	8:17 PM ↑ (290°)	13:59:30	−2:48	4:23 AM	10:10 PM	5:06 AM	9:27 PM	5:45 AM	8:48 PM	1:17 PM (58.4°)	94.116
18	6:18 AM ↑ (70°)	8:15 PM ↑ (289°)	13:56:40	−2:49	4:25 AM	10:07 PM	5:08 AM	9:25 PM	5:47 AM	8:46 PM	1:17 PM (58.1°)	94.097
19	6:19 AM ↑ (71°)	8:13 PM ↑ (289°)	13:53:50	−2:50	4:27 AM	10:05 PM	5:09 AM	9:23 PM	5:48 AM	8:45 PM	1:17 PM (57.7°)	94.079
20	6:21 AM ↑ (71°)	8:12 PM ↑ (288°)	13:50:58	−2:51	4:29 AM	10:03 PM	5:11 AM	9:21 PM	5:49 AM	8:43 PM	1:16 PM (57.4°)	94.060
21	6:22 AM ↑ (72°)	8:10 PM ↑ (288°)	13:48:06	−2:52	4:31 AM	10:00 PM	5:12 AM	9:19 PM	5:50 AM	8:41 PM	1:16 PM (57.1°)	94.040
22	6:23 AM ↑ (72°)	8:08 PM ↑ (287°)	13:45:13	−2:53	4:32 AM	9:58 PM	5:14 AM	9:17 PM	5:52 AM	8:39 PM	1:16 PM (56.7°)	94.021
23	6:24 AM ↑ (73°)	8:06 PM ↑ (287°)	13:42:18	−2:54	4:34 AM	9:56 PM	5:15 AM	9:15 PM	5:53 AM	8:37 PM	1:16 PM (56.4°)	94.001
24	6:25 AM ↑ (73°)	8:05 PM ↑ (286°)	13:39:23	−2:55	4:36 AM	9:54 PM	5:17 AM	9:13 PM	5:54 AM	8:36 PM	1:15 PM (56.1°)	93.980
25	6:27 AM ↑ (74°)	8:03 PM ↑ (286°)	13:36:27	−2:55	4:38 AM	9:51 PM	5:18 AM	9:11 PM	5:56 AM	8:34 PM	1:15 PM (55.7°)	93.960
26	6:28 AM ↑ (74°)	8:01 PM ↑ (285°)	13:33:31	−2:56	4:39 AM	9:49 PM	5:19 AM	9:09 PM	5:57 AM	8:32 PM	1:15 PM (55.4°)	93.939
27	6:29 AM ↑ (75°)	7:59 PM ↑ (285°)	13:30:34	−2:57	4:41 AM	9:47 PM	5:21 AM	9:07 PM	5:58 AM	8:30 PM	1:15 PM (55.0°)	93.918
28	6:30 AM ↑ (75°)	7:58 PM ↑ (284°)	13:27:36	−2:57	4:43 AM	9:45 PM	5:22 AM	9:05 PM	5:59 AM	8:28 PM	1:14 PM (54.7°)	93.897
29	6:31 AM ↑ (76°)	7:56 PM ↑ (284°)	13:24:37	−2:58	4:44 AM	9:42 PM	5:24 AM	9:03 PM	6:01 AM	8:26 PM	1:14 PM (54.3°)	93.876
30	6:32 AM ↑ (76°)	7:54 PM ↑ (283°)	13:21:38	−2:59	4:46 AM	9:40 PM	5:25 AM	9:01 PM	6:02 AM	8:24 PM	1:14 PM (54.0°)	93.855
31	6:34 AM ↑ (77°)	7:52 PM ↑ (283°)	13:18:38	−2:59	4:48 AM	9:38 PM	5:27 AM	8:59 PM	6:03 AM	8:23 PM	1:13 PM (53.6°)	93.833
